costCpu	costMem	runTime	fromTablePhysical	fromTableRowCnt	groupByColumnCnt	AggRows
70	7620	26	3423023	550032	4	4534
162	6652	12	3422976	548920	31	13353
43	7467	39	3423101	549262	41	5027
97	7749	48	3423141	548045	71	12232
45	8212	41	3422742	549416	9	11358
57	7714	17	3423473	549862	58	7125
127	8120	37	3423402	548332	101	14202
84	8219	15	3422588	548836	29	8415
97	6852	44	3422841	550773	7	6161
120	6854	-3	3423172	550347	51	14296
123	6735	36	3422764	549270	9	13854
147	8573	16	3422811	549935	20	13665
94	6920	15	3422853	548752	73	9768
124	6692	4	3422947	549109	71	13624
115	6861	45	3423390	550003	32	5921
30	7598	10	3423085	548673	10	7862
133	6832	25	3423302	549686	56	11509
159	7228	12	3423218	549110	62	11720
63	6908	-3	3422532	549610	54	7020
70	8094	29	3422565	548308	26	9828
46	8552	14	3422842	551956	18	9651
98	7399	17	3423109	548466	90	5693
48	6629	3	3423281	551210	79	9594
29	8337	24	3423014	550871	28	10310
104	7700	11	3422929	549294	14	5816
104	6891	2	3423493	548580	55	12233
87	7208	10	3423240	549370	38	12843
31	6708	51	3422834	548400	21	13220
99	8207	3	3422546	551962	64	13594
125	7967	47	3423271	549727	95	11005
28	7293	41	3423298	550240	23	12895
56	8262	45	3423507	548231	4	7189
158	8316	40	3422791	551830	45	11437
170	8283	22	3422695	548220	42	8553
111	7510	51	3423499	549409	33	13061
106	7035	54	3422761	548960	56	8919
52	7735	17	3422606	549447	80	10024
36	6761	-2	3422841	550387	99	13366
27	6705	13	3422641	552018	85	8821
125	7471	3	3422849	548098	20	7484
106	7606	9	3422975	551983	61	10034
93	6821	51	3422629	551408	89	7556
66	8197	-2	3422882	551265	18	7714
58	7048	55	3423268	551336	70	12722
90	6884	16	3423027	550063	104	13626
41	8590	26	3423506	549993	66	9402
141	7683	10	3422761	550533	59	10576
118	7213	29	3422643	551951	102	8073
141	7930	21	3422595	550330	66	10309
107	7216	39	3422763	548037	40	6198
37	7360	3	3422712	551182	104	13946
28	8279	42	3423166	551038	59	7246
21	8611	48	3423502	550479	20	8732
95	7481	12	3422812	551836	14	8603
29	8582	53	3422855	549701	93	10487
103	6702	27	3422611	550498	84	10231
100	7266	2	3422543	552022	23	9263
149	8103	3	3423246	549483	62	13443
53	6818	48	3423244	548567	12	7722
59	6634	35	3423417	550900	34	11409
112	7775	47	3423480	548946	58	14295
116	7423	34	3422576	550329	24	7151
130	7554	6	3422781	549768	5	12889
110	7441	30	3422690	551178	18	13118
55	6707	40	3423096	550866	82	14222
138	7226	11	3422566	549012	34	14477
27	8274	47	3423499	548606	102	12982
58	8407	5	3423419	549912	64	6244
135	7939	22	3423385	551636	20	13738
141	7021	19	3422728	551686	62	5912
126	8310	37	3422769	549334	17	12811
41	8063	50	3423158	549286	27	7788
60	7307	27	3422862	550884	41	7041
137	7305	28	3422653	548039	52	6573
150	7528	30	3423221	551461	73	11800
37	8093	21	3422560	550408	82	5616
62	6912	-4	3423381	551552	77	11093
125	8371	31	3423333	548517	62	5779
108	7463	24	3423311	549955	103	13812
119	8500	27	3423275	549759	61	14052
166	6786	7	3423101	548657	28	10977
53	7991	35	3422738	549791	16	7192
162	6736	3	3422699	548301	44	7313
162	7270	11	3423288	550956	76	13590
29	8109	35	3422832	549202	97	8619
168	6629	15	3423125	551889	14	14334
134	7956	17	3423243	550613	9	12000
156	6937	39	3422525	549168	74	10181
97	8335	42	3422808	548446	54	7343
81	7991	29	3423357	549766	74	9069
158	7738	39	3423049	549362	27	9609
81	7813	17	3423139	549857	38	10797
69	7448	38	3423096	549848	27	13958
98	6987	14	3422997	550437	69	5017
121	7098	43	3422767	548989	84	5676
169	8549	44	3422710	550662	16	12544
111	7424	38	3423107	551655	25	5945
29	7579	4	3422987	550552	45	12938
167	7022	42	3422736	551567	87	10541
55	6913	15	3423151	551105	64	12610
