costCpu	costMem	runTime	filterRows	fromTablePhysical	fromTableRowCnt
50	4000	20	500	6000	2999
69	4137	22	253	4619	3059
45	3419	1	803	7170	3066
15	3000	29	652	6890	3076
117	4779	32	26	7458	3008
26	4726	14	772	5373	3037
60	4520	5	941	7624	3041
100	4037	27	98	5838	3049
91	4059	22	574	4191	3020
125	4738	24	364	6546	3066
15	4890	15	976	5286	3045
6	3113	28	2	4258	3098
80	4584	49	891	6365	3070
30	3555	43	743	6934	3092
101	4289	37	693	5364	3067
101	4756	25	815	4429	3056
84	3400	31	819	6533	3003
76	4389	37	903	5338	3085
55	3450	29	669	6641	3054
20	3767	16	850	4430	3089
148	3757	16	999	5946	3005
30	3508	45	983	6626	3063
148	3308	26	846	4933	3084
16	4902	2	635	7906	3008
113	4070	45	102	7211	3048
47	4122	12	836	4732	3039
60	3738	34	46	5556	3005
4	4431	7	966	5542	3091
70	4944	25	934	7946	3005
51	3587	3	411	5803	3044
34	4264	19	513	5472	3048
149	4399	28	314	7757	3017
103	3068	1	458	6829	3030
116	3532	50	970	7137	3087
149	3595	26	113	7419	3054
50	3273	7	186	6452	3016
88	3122	24	816	6296	3046
133	3116	39	828	5436	3014
126	3300	28	44	4683	3097
38	3312	11	756	4942	3047
111	3412	35	284	7430	3015
109	4308	30	904	6248	3021
109	4360	24	640	4794	3057
19	4954	7	224	6628	3047
24	3130	8	829	7055	3054
4	3040	16	727	7868	3042
117	4217	45	172	4033	3085
43	3240	19	347	5195	3040
124	4564	25	620	5017	3054
46	4390	32	774	5873	3085
104	3257	17	624	5378	3031
60	3340	40	809	4166	3003
113	3594	15	391	4034	3057
35	3769	10	627	4366	3015
64	3668	45	689	5122	3020
129	4533	16	477	5348	3039
69	3249	39	587	5652	3079
92	3887	37	492	5548	3043
71	3202	35	593	7495	3091
109	4617	27	88	5609	3085
133	4480	9	156	5302	3001
23	4206	35	995	7657	3086
27	4803	34	6	4744	3014
25	4514	4	631	5140	3096
113	4485	38	544	5666	3004
48	4420	15	201	4151	3045
26	3521	2	143	7299	3069
7	4056	23	101	7433	3028
67	4932	2	324	4357	3064
34	4369	49	918	6370	3024
136	4359	28	514	4237	3005
79	3936	18	4	6601	3055
96	3114	30	376	7072	3014
142	3336	50	877	7672	3033
95	4113	30	291	5927	3046
118	4838	1	889	5982	3013
4	4614	17	851	7025	3027
107	3335	19	349	5333	3037
36	4513	25	902	6952	3063
38	4835	14	372	6092	3016
146	4873	30	578	4460	3093
26	4374	17	939	5059	3060
54	4012	44	802	7267	3014
100	4496	40	188	4512	3061
42	3453	34	1	5176	3026
57	4946	19	440	5300	3051
80	3470	23	462	4241	3078
124	4435	8	387	7624	3029
125	4596	39	446	5256	3033
79	4128	48	571	5730	3032
147	4752	42	801	5740	3013
47	3750	19	521	6509	3093
85	4215	30	727	6466	3011
65	4399	46	324	5070	3050
98	4597	0	142	4309	3020
13	3868	36	76	7076	3084
112	4481	34	791	4626	3095
69	4674	44	162	6399	3062
119	3219	47	604	4404	3059
41	3401	22	431	5179	3086
