costCpu	costMem	runTime	joinRows	leftTableColumnCnt	leftColumnIsSlope	leftTablePhysical	leftTableRowCnt	rightTableColumnCnt	rightTablePhysical	rightTableRowCnt	rightColumnIsSlope	joinType
60	6000	30	500	6000	0	600000	70000	500	1243400	98233	0	INNER JOIN
117	5931	6	755	6935	40	602835	70000	503	1244341	98269	100	LEFT JOIN
102	5093	3	799	7292	66	609217	69902	549	1244351	98800	200	RIGHT JOIN
153	5618	14	858	7899	12	607754	69981	502	1242406	98927	200	FULL OUT JOIN
113	5579	34	99	5883	44	601941	70004	415	1243877	97838	300	FULL OUT JOIN
150	6927	32	850	6824	40	608251	69985	443	1242402	97991	300	FULL OUT JOIN
140	5720	30	728	4844	62	604541	70020	442	1243482	98792	300	FULL OUT JOIN
82	6510	6	447	5103	91	604565	70099	451	1242733	98224	400	INNER JOIN
20	5899	15	204	6828	75	602229	70089	452	1242468	98027	400	LEFT JOIN
158	5363	54	628	7279	50	607515	70065	551	1242802	99036	500	RIGHT JOIN
78	6846	37	298	4774	59	607010	69915	529	1242480	98028	500	FULL OUT JOIN
44	5072	12	579	5437	71	600437	70030	461	1242503	98990	600	INNER JOIN
116	5545	39	695	4551	4	603081	69935	580	1242630	97778	600	LEFT JOIN
142	6737	5	117	4719	27	608494	69980	435	1243823	97833	700	RIGHT JOIN
121	5654	33	356	5652	74	607211	70004	462	1242621	97968	700	FULL OUT JOIN
103	5314	1	503	6280	23	607807	70003	422	1243576	97659	700	FULL OUT JOIN
133	5624	20	867	6638	93	609298	70051	549	1243191	98979	800	FULL OUT JOIN
147	6252	11	162	6743	27	607555	69903	530	1242575	97985	900	FULL OUT JOIN
80	6752	26	4	4452	14	602151	70039	412	1243599	99021	1000	INNER JOIN
53	6720	49	576	7716	34	601515	69934	460	1243003	97906	1000	LEFT JOIN
113	6693	22	493	7617	98	604771	70066	493	1243904	98760	1100	RIGHT JOIN
88	5142	27	293	6145	1	608598	69942	529	1242423	98525	1200	FULL OUT JOIN
118	6498	18	643	5276	57	608133	70094	599	1242585	98228	1200	INNER JOIN
31	6631	30	824	6932	41	605147	70032	491	1243791	99163	1200	LEFT JOIN
151	5607	1	889	7087	97	604083	70063	528	1243096	98505	1200	RIGHT JOIN
119	5767	40	273	6824	30	608613	70066	472	1243751	97284	1300	FULL OUT JOIN
60	6613	11	163	6808	89	600631	70041	596	1244263	97669	1300	INNER JOIN
146	5427	4	931	6864	21	604541	69930	467	1242768	98564	1400	LEFT JOIN
106	5328	33	793	4277	7	607182	70098	524	1243323	98944	1500	RIGHT JOIN
116	5464	48	456	5256	25	609957	70038	409	1243983	98305	1500	FULL OUT JOIN
149	6868	53	249	4077	81	604926	69964	463	1242850	97540	1500	FULL OUT JOIN
139	5141	22	87	6814	60	601840	70100	564	1242818	98327	1500	FULL OUT JOIN
62	5225	41	594	4509	42	607759	70047	421	1242729	99019	1500	INNER JOIN
99	6679	47	668	5741	88	609774	70040	556	1242540	98272	1500	LEFT JOIN
115	5876	26	977	4793	17	600294	70033	479	1244221	98136	1600	RIGHT JOIN
82	5488	54	375	6368	88	606249	70078	436	1242631	99233	1700	FULL OUT JOIN
142	6451	41	636	4519	76	605756	69941	576	1243997	97380	1800	INNER JOIN
120	5141	2	732	6073	50	603483	69915	462	1244112	99170	1900	LEFT JOIN
95	6730	35	644	6385	93	609748	70021	501	1243143	97705	1900	RIGHT JOIN
86	6231	23	634	5118	17	606730	70049	544	1244336	98295	2000	FULL OUT JOIN
127	5211	6	265	7266	84	606700	69999	594	1242971	97735	2100	INNER JOIN
23	6589	18	270	5624	89	601421	69909	447	1243041	97337	2200	INNER JOIN
152	6065	36	532	7342	0	601401	69973	467	1244153	98851	2200	LEFT JOIN
96	6078	25	490	6594	9	601733	69903	489	1243655	97636	2200	RIGHT JOIN
117	5400	19	69	6671	53	600119	69955	459	1243725	98998	2200	FULL OUT JOIN
59	5163	32	244	7276	22	604217	69921	551	1244054	98836	2200	FULL OUT JOIN
130	6088	24	952	6904	85	607300	70044	574	1243287	98476	2200	FULL OUT JOIN
36	6342	59	759	7398	32	607221	70019	450	1244074	99038	2200	FULL OUT JOIN
147	5603	8	952	7387	50	608845	70064	409	1243193	98202	2200	INNER JOIN
135	6175	16	365	4208	0	602479	70100	439	1242781	98003	2200	LEFT JOIN
138	5560	59	945	7297	68	602579	70051	540	1242557	97709	2300	RIGHT JOIN
156	5700	11	874	6817	96	601885	70009	532	1243302	97401	2300	FULL OUT JOIN
20	6005	34	846	4855	68	600477	69983	511	1243694	98667	2300	INNER JOIN
22	6511	24	630	4346	43	604565	69930	401	1244067	98543	2300	LEFT JOIN
151	5689	17	387	4187	67	604790	70050	530	1243241	98020	2400	RIGHT JOIN
141	6240	53	952	4713	45	602734	70039	440	1244188	97353	2400	FULL OUT JOIN
116	6867	31	834	7572	53	600121	70076	524	1242500	98388	2500	FULL OUT JOIN
99	5553	15	416	5783	96	603500	69967	543	1243308	98588	2600	FULL OUT JOIN
158	6325	37	489	5260	82	603774	70001	462	1242685	98442	2600	FULL OUT JOIN
132	6983	58	778	6951	80	602594	69907	596	1242519	99203	2700	INNER JOIN
137	5856	50	25	4003	19	602311	69949	559	1243251	97274	2800	LEFT JOIN
144	5472	7	536	5145	65	601328	69991	486	1243699	98290	2900	RIGHT JOIN
75	6132	59	322	5708	5	601468	69938	552	1243088	97280	2900	FULL OUT JOIN
122	5573	14	283	6471	96	609801	70050	540	1243104	99000	3000	INNER JOIN
76	5450	55	226	4846	77	608538	70090	550	1243505	98425	3000	LEFT JOIN
42	6334	32	208	4501	37	606290	69944	573	1243319	97303	3000	RIGHT JOIN
139	6542	55	321	4379	68	605311	69907	552	1244167	98201	3000	FULL OUT JOIN
119	6098	54	600	6897	80	605571	69914	455	1242708	98120	3000	INNER JOIN
140	6297	55	834	4705	21	603815	69949	463	1243771	98876	3000	LEFT JOIN
58	5135	59	829	5149	66	604308	69990	445	1243063	99178	3100	RIGHT JOIN
123	6983	6	376	7779	23	601523	70094	533	1243268	97255	3200	FULL OUT JOIN
30	5879	15	495	4568	63	600145	70078	406	1243042	98916	3300	FULL OUT JOIN
133	6045	46	604	4992	91	604050	69910	506	1242721	97759	3300	FULL OUT JOIN
57	6739	16	275	6256	32	608524	70006	535	1242900	98627	3400	INNER JOIN
41	6244	6	800	7510	7	601346	70044	532	1242465	97510	3500	LEFT JOIN
